title,author,isbn,goodreads_id,goodreads_shelf,status,owned,rating,page_count,published_year,goodreads_date_read,publisher
Footnote to History: From Hungary to America. The Memoir of a Holocaust Survivor (Holocaust Survivor Memoirs World War II),Andrew Laszlo,9789493322868,221872440,to-buy,wishlist,false,,338,2025,,Amsterdam Publishers
Sabine’s Odyssey: A Hidden Child and Her Dutch Rescuers,Agnes Schipper,9789493231962,61049918,to-buy,wishlist,false,,230,2022,,Amsterdam Publishers
Dear Debbie,Freida McFadden,9781464249624,238365535,to-buy,wishlist,false,,327,2026,,Poisoned Pen Press
"The Impossible Fortune (Thursday Murder Club, #5)",Richard Osman,9780593653258,222292420,to-buy,wishlist,false,,368,2025,,Pamela Dorman Books
The Intruder,Freida McFadden,9781464260919,231819058,to-buy,wishlist,false,,279,2025,,Poisoned Pen Press
The Boyfriend,Freida McFadden,9781728296227,208503280,to-buy,wishlist,false,,368,2024,,Poisoned Pen Press
The Only One Left,Riley Sager,9780593183229,62703226,to-buy,wishlist,false,,383,2023,,Dutton
Local Woman Missing,Mary Kubica,9780778311669,57361474,to-buy,wishlist,false,,356,2021,,Park Row
The Guest List,Lucy Foley,,52656911,to-buy,wishlist,false,,319,2020,,William Morrow
"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,,46000520,to-buy,wishlist,false,,382,2020,,Penguin Books
Then She Was Gone,Lisa Jewell,9781501154645,35297426,to-buy,wishlist,false,,356,2018,,Atria Books
"Big Little Lies (Big Little Lies, #1)",Liane Moriarty,9780399587191,33516773,to-buy,wishlist,false,,460,2017,,Berkley
Gone Girl,Gillian Flynn,9780307588371,19288043,to-buy,wishlist,false,,415,2014,,Ballantine Books
The Girl on the Train,Paula Hawkins,9781594633669,22557272,to-buy,wishlist,false,,336,2015,,Riverhead Books
The Woman in Cabin 10 (Lo Blacklock #1),Ruth Ware,9781668221877,233770059,to-buy,wishlist,false,,400,2025,,Simon & Schuster
Wrong Place Wrong Time,Gillian McAllister,9780063252349,59947696,to-read,unread,true,,416,2022,,William Morrow
Dirty 20,Bill Schweigart,9781368114578,240187265,to-buy,wishlist,false,,416,2026,,Hyperion Avenue
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,9780140280098,227443,read,read,true,2,288,1999,2026/04/28,Penguin Books
The True Confessions of Charlotte Doyle (Scholastic Gold),Avi,9780545922470,25943245,read,read,true,5,243,2015,2026/04/25,Scholastic Inc.
"December (Calendar Girl, #12)",Audrey Carlan,9781947222113,26879258,read,read,true,3,169,2015,2026/04/13,Waterhouse Press
"November (Calendar Girl, #11)",Audrey Carlan,9781947222106,26523232,read,read,true,3,138,2015,2026/04/08,Waterhouse Press
"October (Calendar Girl, #10)",Audrey Carlan,9781947222090,26523230,read,read,true,3,135,2015,2026/04/04,Waterhouse Press
"September (Calender Girl, #9)",Audrey Carlan,9781947222083,26523227,read,read,true,4,115,2015,2026/04/01,Waterhouse Press
"August (Calendar Girl, #8)",Audrey Carlan,9781947222076,26007992,read,read,true,4,112,2015,2026/03/30,Waterhouse Press LLC
The Friday Afternoon Club: A Family Memoir,Griffin Dunne,9780593652824,203708995,to-read,unread,true,,400,2024,,Penguin Press
JonBenet: Inside the Ramsey Murder Investigation,Steve Thomas,9780312978617,581543,to-read,unread,true,,413,2000,,St. Martin's Paperbacks
Brave New World,Aldous Huxley,9780060929879,5129,to-read,unread,true,,288,1998,,HarperPerennial / Perennial Classics
A Clockwork Orange,Anthony Burgess,9780393341768,41817486,to-read,unread,true,,240,2019,,W. W. Norton & Company
The Invisible Life of Addie LaRue,V.E. Schwab,9780765387561,50623864,to-buy,wishlist,false,,448,2020,,Tor Books
"July (Calendar Girl, #7)",Audrey Carlan,9781943340057,25791683,read,read,true,4,100,2015,2026/03/29,Audrey  Carlan
"June (Calendar Girl, #6)",Audrey Carlan,9781943340040,25610306,read,read,true,4,100,2015,2026/03/29,Audrey  Carlan
"May (Calendar Girl, #5)",Audrey Carlan,,25409003,read,read,true,4,100,2015,2026/03/28,Audrey  Carlan
"April (Calendar Girl, #4)",Audrey Carlan,9780990914396,25157544,read,read,true,4,100,2015,2026/03/26,Audrey  Carlan
"March (Calendar Girl, #3)",Audrey Carlan,9780990914372,24980433,read,read,true,3,106,2015,2026/03/25,Audrey  Carlan
"February (Calendar Girl, #2)",Audrey Carlan,9780990914365,24514594,read,read,true,4,129,2015,2026/03/24,Audrey Carlan
"January (Calendar Girl, #1)",Audrey Carlan,9780990914358,24283477,read,read,true,4,136,2015,2026/03/21,Audrey Carlan
Psychopat,Harold Schechter,9788057503408,245405262,read,read,true,4,304,2026,2026/03/18,Ikar
The Scarlet Letter,Nathaniel Hawthorne,9780142437261,12296,did-not-finish,dnf,true,2,279,2002,,Penguin Books
Reminders of Him,Colleen Hoover,,58346977,read,read,true,4,320,2022,2026/03/11,Montlake
Half His Age,Jennette McCurdy,9780593723739,240424526,to-buy,wishlist,false,,288,2026,,Ballantine Books
Shoeless Joe,W.P. Kinsella,9780785729020,57736,to-read,unread,true,,272,1999,,Turtleback Books
"The Duke and I (Bridgertons, #1)",Julia Quinn,,25322247,read,read,true,4,433,2015,2026/03/09,Avon
Dark World: Into the Shadows with the Lead Investigator of The Ghost Adventures Crew,Zak Bagans,9781628602548,33921070,read,read,true,3,272,2017,2026/03/06,Victory Belt Publishing
"The Housemaid's Wedding (The Housemaid, #2.5)",Freida McFadden,,220921867,read,read,true,4,76,2024,2026/02/22,Hollywood Upstairs Press
The Martian,Andy Weir,9780804139021,18007564,to-read,unread,true,,369,2014,,Crown Publishers
I'm Glad My Mom Died,Jennette McCurdy,9781982185824,59366244,read,read,true,5,304,2022,2026/02/19,Simon & Schuster
Semi-Well-Adjusted Despite Literally Everything,Alyson Stoner,9781250353498,217387890,to-buy,wishlist,false,,320,2025,,St. Martin's Press
I Who Have Never Known Men,Jacqueline Harpman,9781945492624,60457992,to-buy,wishlist,false,,175,2022,,Transit Books
"Gilead (Gilead, #1)",Marilynne Robinson,9780312424404,68210,to-buy,wishlist,false,,247,2006,,Picador
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,9781529029581,44421460,to-read,unread,true,,213,2019,,Picador
"An Offer From a Gentleman (Bridgertons, #3)",Julia Quinn,,59340141,to-buy,wishlist,false,,483,2021,,Avon
People We Meet on Vacation,Emily Henry,9781984806758,54985743,to-read,unread,true,,361,2021,,Berkley
The Zookeeper's Wife: A War Story,Diane Ackerman,9780393354256,32722510,read,read,true,3,368,2017,2026/02/12,W. W. Norton & Company
Life of Pi,Yann Martel,9780770430078,4214,to-read,unread,true,,460,2006,,Seal Books
Time Capsule 1950: A History of the Year Condensed from the Pages of Time Magazine,Time-Life Books,,123819699,read,read,true,4,239,1967,2026/01/20,Time-Life Books
Japan's Infamous Unit 731: First-hand Accounts of Japan's Wartime Human Experimentation Program (Tuttle Classics),Hal Gold,9780804852197,43672071,read,read,true,3,256,2019,2026/01/17,Tuttle Publishing
Stiff: The Curious Lives of Human Cadavers,Mary Roach,9780393881721,56769575,to-read,unread,true,,320,2021,,W. W. Norton & Company
Apollo 13,Jim Lovell,9780547526232,44099262,to-read,unread,true,,558,2019,,Mariner Books
The Journals of Dylan Klebold and Eric Harris: Columbine Killers Diaries,Murder Journals,9781794109933,44575289,read,read,true,,210,2019,2025/12/30,Independently published
Regretting You,Colleen Hoover,9781542016421,46117419,read,read,true,3,356,2019,2025/12/26,Montlake
"The Housemaid (The Housemaid, #1)",Freida McFadden,9781803144375,60556912,read,read,true,5,338,2022,2025/12/23,Bookouture
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,9798804636129,28257707,to-read,unread,true,,212,2016,,Harper
Crying in H Mart,Michelle Zauner,9780525657743,54814676,to-buy,wishlist,false,,256,2021,,Knopf
Strange Pictures,Uketsu,9780063433083,216670080,to-buy,wishlist,false,,236,2025,,HarperVia
Bury Our Bones in the Midnight Soil,V.E. Schwab,9781035064649,215020997,to-buy,wishlist,false,,535,2025,,Tor
Yellowface,R.F. Kuang,,62047984,to-buy,wishlist,false,,319,2023,,William Morrow
