title,author,genre,subgenre,isbn,page_count,rating,status,owned,synopsis,date_added
"Alchemist, The",Paulo Coelho,Adventure,Classic Lit.,9780062315007,179,,unread,true,"25th anniversary edition. 

A special 25th anniversary edition of the extraordinary international bestseller, including a new Foreword by Paulo Coelho.

Combining magic, mysticism, wisdom and wonder into an inspiring tale of self-discovery, The Alchemist has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.

Paulo Coelhoâ€™s masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearn",2025-06-30
All Quiet on the Western Front,Erich Maria Remarque,,,9780553064063,245,,unread,true,,2025-06-30
All Your Perfects,Colleen Hoover,Romance,Box 3,9781501193323,305,,unread,true,"Colleen Hoover delivers a tour de force novel about a troubled marriage and the one old forgotten promise that might be able to save it.
Quinn and Grahamâ€™s perfect love is threatened by their imperfect marriage. The memories, mistakes, and secrets that they have built up over the years are now tearing them apart. The one thing that could save them might also be the very thing that pushes their marriage beyond the point of repair.
All Your Perfects is a profound novel about a damaged couple who",2024-10-25
All the Light We Cannot See,Anthony Doerr,Historical Fiction,World War II,9781501173219,544,,unread,true,"Marie-Laure has been blind since the age of six. Her father builds a perfect miniature of their Paris neighbourhood so she can memorize it by touch and navigate her way home. But when the Nazis invade, father and daughter flee with a dangerous secret. Werner is a German orphan, destined to labour in the same mine that claimed his fatherâ€™s life, until he discovers a knack for engineering. His talent wins him a place at a brutal military academy, but his way out of obscurity is built on sufferin",2025-12-20
American Psycho,Bret Easton Ellis,Literature,Slasher,9780679735779,399,,unread,true,"Patrick Bateman is twenty-six and works on Wall Street; he is handsome, charming and intelligent. He is also a psychopath. This bitter black comedy takes a hilarious and spine-chilling look at the preoccupations of modern American society, and in so doing exposes the darkness that lurks behind the mask.",2025-07-27
American Sniper: The Autobiography of the Most Lethal Sniper In U.S. Military History,Chris Kyle,Autobiography,Glenâ€™s Books,9780062238863,434,,unread,true,"From 1999 to 2009, U.S. Navy SEAL Chris Kyle recorded the most career sniper kills in United States military history. The Pentagon has officially confirmed more than 150 of Kyleâ€™s kills (the previous American record was 109), but it has declined to verify the astonishing total number for this book. Iraqi insurgents feared him so much they placed a bounty on his head. Kyle earned legendary status among his fellow U.S. warriors, whom he protected with deadly accuracy from rooftops and stealth po",2024-09-23
An Hour Before Daylight,Jimmy Carter,Autobiography,,9780743211932,288,,unread,true,"The former president offers an intriguing account of growing up on a Georgia farm during the Depression and provides incisive profiles of the people who shaped his life: his segregationist farmer father, strong-willed nurse mother, eccentric relatives, boyhood friends, and others.",2024-10-25
Angelaâ€™s Ashes: A Memoir (The Frank McCourt Memoirs),Frank McCourt,Memoir,,9780684874357,368,,unread,true,"36th printing

**â€Angelaâ€™s Ashesâ€** by Frank McCourt is a memoir that recounts his impoverished childhood in both Brooklyn, New York, and Limerick, Ireland, during the Great Depression and World War II. The book delves deeply into the harsh realities of McCourtâ€™s upbringing, marked by hunger, deprivation, his fatherâ€™s alcoholism, and the struggle for survival amidst grinding poverty.

Despite the grim subject matter, McCourtâ€™s narrative is filled with humor and resilience. He portray",2024-10-25
Animal Farm,George Orwell,Fiction,Glenâ€™s Books,9780451526342,141,,unread,true,"Fables of the world unite! Ever since they were driven from their homelands by the Adversary, the non-human Fables have been living on the Farm - a vast property in upstate New York that keeps them hidden from the prying eyes of the mundane world. But now, after hundreds of years of isolation, the Farm is seething with revolution, fanned by the inflammatory rhetoric of Goldilocks and the Three Little Pigs. And when Snow White and her sister Rose Red stumble upon their plan to liberate the Homela",2025-06-29
Anne Frank: The Diary of a Young Girl,Anne Frank,Childrenâ€™s,,9780553296983,283,3,read,true,Diary of a young teenager hiding from the Naziâ€™s in World War 2.,2024-09-23
