title,author,genre,subgenre,isbn,page_count,rating,status,owned,synopsis,date_added
"Financial Peace Revisited: New Chapters on Marriage, Singles, Kids and Families",Dave Ramsey,Business,How-To,9780670032082,319,,unread,true,"Dave Ramseyâ€™s New York Times-bestselling guide to better living through financial security, now completely revised and updated.",2024-10-25
Find Your F*cking Happy,Monica Sweeney,,,9781250214270,,,unread,true,"A guided journal full of positive profanity, Monica Sweeneyâ€™s Find Your F*cking Happy is a down-to-earth approach to mindfulness journaling.",2024-05-05
Finding Cinderella,Colleen Hoover,Romance,,9781476783284,130,,unread,true,"A chance encounter in the dark leads eighteen-year-old Daniel and the girl who stumbles across him to profess their love for each other. But this love has conditions: they agree it will last only one hour, and it will be only make-believe. When their hour is up and the girl rushes off like Cinderella, Daniel tries to convince himself that what happened between them seemed perfect only because they were pretending it was. Moments like that happen only in fairy tales. One year and one bad relation",2024-10-25
Finding Freedom: Harry and Meghan and the Making of a Modern Royal Family (EB),Omid Scobie,Autobiography,,9780063046108,354,,unread,true,"The first, epic and true story of the Duke and Duchess of Sussexs life together, finally revealing why they chose to pursue a more independent path and the reasons behind their unprecedented decision to step away from their royal lives, from two top royal reporters who have been behind the scenes since the couple first met.

When news of the budding romance between a beloved English prince and an American actress broke, it captured the worlds attention and sparked an international media frenzy. ",2024-10-25
Finding Me,Michelle Knight,Biography,,9781602862562,252,,unread,true,"Michelle was a young single mother when she was kidnapped by a local school bus driver named Ariel Castro. For more than a decade afterward, she endured unimaginable torture at the hand of her abductor. In 2003 Amanda Berry joined her in captivity, followed by Gina DeJesus in 2004. Their escape on May 6, 2013, made headlines around the world. 
 
Barely out of her own tumultuous childhood, Michelle was estranged from her family and fighting for custody of her young son when she disappeared. Local",2025-05-12
First Comes Scandal,Julia Quinn,Romance,Historical Romance,9780062956163,384,,unread,true,"She was given two choicesâ€¦
Georgiana Bridgerton isnâ€™t against the idea of marriage. Sheâ€™d just thought sheâ€™d have some say in the matter. But with her reputation hanging by a thread after sheâ€™s abducted for her dowry, Georgie is given two options: live out her life as a spinster or marry the rogue who has ruined her life.

Enter Option #3
As the fourth son of an earl, Nicholas Rokesby is prepared to chart his own course. He has a life in Edinburgh, where heâ€™s close to completing his ",2024-09-23
Flags Of Our Fathers,"Powers, Ron, Bradley, James",History,,9780553589085,562,,unread,true,"New York Times bestselling book by James Bradley with Ron Powers about the five United States Marines and one United States Navy Corpsman who would eventually be made famous by Joe Rosenthalâ€™s lauded photograph of the flag raising at Iwo Jima, one of the costliest and most horrifying battles of World War IIâ€™s Pacific Theater. The flag raisers included John Bradley (a Navy corpsman, and the authorâ€™s father), Rene Gagnon, Ira Hayes, Mike Strank, Harlon Block, and Franklin Sousley; the latter",2025-06-29
Flawless,Elsie Silver,Romance,,9781728297002,393,,unread,true,"The rules were simple: keep his hands off his agentâ€™s daughter and stay out of trouble. But now heâ€™s stuck with her. Thereâ€™s only one bed. And well, rules are made to be broken. Rhett Eaton is the face of professional bull riding. The golden boy. Or at least he was until it all blew up in his face after a public brawl. Now his agent says he has to clean up his image, and sticks Rhett with his ball-busting daughter for the rest of the season as â€full-time supervision.â€ But Rhett doesnâ€",2025-01-06
Forever Too Far,Abbi Glines,,,9781490474779,290,,unread,true,"Rush promised Blaire forever... but promises can be broken. Torn between his family and Blaire, he has to find a way to save one without losing the other. In the end one has to be more important, but letting go isnâ€™t easy. Blaire believed in her fairy tale... but no one can live in a fantasy. Her love for Rush kept her believing that they could find a way to be together. But Blaire has to make the right choice - for herself and her baby - even if that choice breaks her heart. Will Blaire and R",2024-10-25
Forever Too Far,Abbi Glines,,,9781471120022,304,,unread,true,"Rush promised Blaire forever... but promises can be broken. Torn between his family and Blaire, he has to find a way to save one without losing the other. In the end one has to be more important, but letting go isnâ€™t easy. Blaire believed in her fairy tale... but no one can live in a fantasy. Her love for Rush kept her believing that they could find a way to be together. But Blaire has to make the right choice - for herself and her baby - even if that choice breaks her heart. Will Blaire and R",2024-10-25
Fort Pulaski And The Defense Of Savannah Civil War Series,Herbert M Schiller,History,,9781888213188,47,,unread,true,,2025-07-01
Fourth Wing,Rebecca Yarros,Fantasy,Barnes & Noble Exclusive,9781649374042,528,,unread,true,"Twenty-year-old Violet Sorrengail was supposed to enter the Scribe Quadrant, living a quiet life among books and history. Now, the commanding generalâ€”also known as her tough-as-talons motherâ€”has ordered Violet to join the hundreds of candidates striving to become the elite of Navarre: dragon riders. But when youâ€™re smaller than everyone else and your body is brittle, death is only a heartbeat away...because dragons donâ€™t bond to â€œfragileâ€ humans. They incinerate them. 

With fewer dr",2025-06-30
Freakonomics: a Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Business,Education,9780060731328,242,,unread,true,"What do estate agents and the Ku Klux Klan have in common?

Why do drug dealers live with their mothers?

How can your name affect how well you do in life?

The answer: Freakonomics. Its at the heart of everything we do and the things that affect us daily, from sex to crime, parenting to politics, fat to cheating, fear to traffic jams. And its all about using information about the world around us to get to the heart of whats really happening under the surface of everyday life.

Now updated with ",2025-07-01
Gathering Blue,Lois Lowry,Fantasy,,9780547904146,241,3,read,true,"Left orphaned and physically flawed in a civilization that shuns and discards the weak, Kira faces a frighteningly uncertain future.

Her neighbors are hostile, and no one but a small boy offers to help. When she is summoned to judgment by The Council of Guardians, Kira prepares to fight for her life.

But the Council, to her surprise, has plans for her. Blessed with an almost magical talent that keeps her alive, the young girl faces new responsibilities and a set of mysteries deep within the on",2024-05-05
Genome,Matt Ridley,History,,9780060894085,351,,unread,true,,2025-12-20
George Washingtonâ€™s Secret Six,Brian Kilmeade,History,,9780143130604,,,unread,true,"A compassionate and practical reference for older adolescent girls shares advice for managing physical and emotional challenges, covering topics ranging from menstruation and body changes to personal care and peer pressure. Original.",2026-03-03
Getting Past No,William Ury,Business,,9780553371314,189,,unread,true,,2024-10-25
Getting To Yes,Roger Fisher,Business,,9780395631249,200,,unread,true,,2024-10-25
Girl In Hyacinth Blue,Susan Vreeland,Historical Fiction,,9780140296280,242,,unread,true,,2025-12-20
Girl In The Blue Coat,Monica Hesse,Historical Fiction,,9780316315869,301,,unread,true,,2025-06-30
Girl With A Pearl Earring,"Tracy, Chevalier,",Historical Fiction,,9780452282155,233,,unread,true,"A poor seventeenth-century servant girl knows her place in the household of the painter Johannes Vermeer, but when he begins to paint her, nasty whispers and rumors circulate throughout the town, in a deluxe edition of the best-selling novel that is enhanced by full-color reproductions of the Vermeer paintings mentioned in the book. Reissue.",2024-05-05
Go Ask Alice,Anonymous,Reference,,9781416914631,224,,unread,true,Based on the diary of a fifteen-year-old drug user chronicling her struggle to escape the pull of the drug world.,2025-03-24
Golden State,"H., Winters, Ben",Crime,,9780316505413,319,,unread,true,"In a strange alternate society that values law and truth above all else, Laszlo Ratesic is a nineteen-year veteran of the Speculative Service. He lives in the Golden State, a nation standing where California once did, a place where like-minded Americans retreated after the erosion of truth and the spread of lies made public life and governance impossible.

In the Golden State, knowingly contradicting the truth is the greatest crime -- and stopping those crimes is Lazâ€™s job. In its service, he ",2024-10-25
Gone With The Wind,Margaret Mitchell,History,,nocode20170912175930033,1037,,unread,true,"Explores the depths of human passions before, during and after the Civil War in Georgia.",2025-05-12
Green Is for Christmas,Drew Daywalt,,,9780593353387,32,,unread,true,"In this Christmas story starring the crayons from the #1 New York Times bestseller The Day The Crayons Quit, Green Crayon is certain that he is the only Christmas color in the box. Of course, Red, White, Silver and even Tan have something to say about that... When Green Crayon claims that green is the only color for Christmas, other crayons let him know that there would be no Christmas without them either. No candy canes or Santa without Red, no snow without White, no bells or stars without Silv",2025-06-30
Hail To The Chiefs,Barbara Holland,,,9780345362735,,,unread,true,"Offers a satiric look at the life, character, and accomplishments of each president from Washington to Reagan",2024-09-23
Hail To The Chiefs,Barbara Holland,,,9780345362735,,,unread,true,"Offers a satiric look at the life, character, and accomplishments of each president from Washington to Reagan",2025-06-29
Harry Potter And The Deathly Hallows,J. K. Rowling,Adventure,Harry Potter,9781338299205,749,,unread,true,WE NOW PRESENT THE SEVENTH AND FINAL INSTALLMENT IN THE EPIC TALE OF HARRY POTTER.,2025-06-30
Harry Potter And The Prisoner Of Azkaban,J.K. Rowling,Adventure,Magic,9780439136358,435,,unread,true,"â€™Harry Potter and the Philosopherâ€™s Stone started a cult last year, the emergence of each of the remaining books in the series of seven deserves to become a major annual event. Rowling creates a complete and perfect story.â€™
- The Times

â€™The Harry Potter books have become a phenomenonâ€¦ parents squabble over who gets to read them to the kids, and teachers say a chapter can silence the most rowdy of classes.â€™ - The Guardian

HARRY POTTER is a wizard! Along with Ron & Hermione, his best",2025-06-30
Harry Potter and The Prisoner Of Azkaban,J.K. Rowling,Adventure,,9780545582933,435,,unread,true,"â€™Harry Potter and the Philosopherâ€™s Stone started a cult last year, the emergence of each of the remaining books in the series of seven deserves to become a major annual event. Rowling creates a complete and perfect story.â€™
- The Times

â€™The Harry Potter books have become a phenomenonâ€¦ parents squabble over who gets to read them to the kids, and teachers say a chapter can silence the most rowdy of classes.â€™ - The Guardian

HARRY POTTER is a wizard! Along with Ron & Hermione, his best",2025-06-30
Harry Potter and the Chamber of Secrets,J K Rowling,Fantasy,YA,9781338716535,400,,unread,true,Book 2 - Harry Potter is a wizard. He is in his second year at Hogwarts School of Witchcraft and Wizardry. Little does he know that this year will be just as eventful as the last...,2025-06-30
Harry Potter and the Chamber of Secrets,J. K. Rowling,Fantasy,,691508923702,,,unread,true,Book 2 - Harry Potter is a wizard. He is in his second year at Hogwarts School of Witchcraft and Wizardry. Little does he know that this year will be just as eventful as the last...,2025-06-30
Harry Potter and the Deathly Hallows,J. K. Rowling,Adventure,2 Magic,9780545139700,759,,unread,true,WE NOW PRESENT THE SEVENTH AND FINAL INSTALLMENT IN THE EPIC TALE OF HARRY POTTER.,2025-06-30
Harry Potter and the Goblet of Fire PB,J. K. Rowling,Adventure,2 Magic,9780439139601,734,,unread,true,"You have in your hands the pivotal fourth novel in the seven-part tale of Harry Potterâ€™s training as a wizard and his coming of age.
Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe more than dream). He wants to find out about the mysterious event thatâ€™s supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, an",2025-06-30
Harry Potter and the Half-Blood Prince,J.K. Rowling,Adventure,Magic,9780439784542,652,,unread,true,Book 6,2025-06-30
Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy,Magic,9780439358064,870,,unread,true,"Book 5 - Harry Potter is about to start his fifth year at Hogwarts School of Witchcraft and Wizardry. Unlike most schoolboys, Harry never enjoys his summer holidays, but this summer is even worse than usual. The Dursleys, of course, are making his life a misery, but even his best friends, Ron and Hermione, seem to be neglecting him.
Harry has had enough. He is beginning to think he must do something, anything, to change his situation, when the summer holidays come to an end in a very dramatic fa",2025-06-30
Harry Potter and the Sorcererâ€™s Stone PB,J. K. Rowling,Fantasy,Narrative,9780590353427,309,,unread,true,"Harry Potter has never played a sport while flying in a broomstick. Heâ€™s never worn a cloak of invisibility, befriended a giant, or helped hatch a dragon. All Harry knows is a miserable life with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. Harryâ€™s room is a tiny closet at the door of the stairs, and he hasnâ€™t had a birthday party in eleven years.

But all that is about to change when a mysterious letter arrives by owl messenger: a letter with an invitation ",2025-06-30
Hatchet,Gary Paulson,Adventure,100 Books Every Man Should Read Art Of Manliness,9781416936473,181,4,read,true,"Thirteen-year-old Brian Robeson is on his way to visit his father when the single engine plane in which he is flying crashes. Suddenly, Brian finds himself alone in the Canadian wilderness with nothing but his clothing, a tattered windbreaker, and the hatchet his mother has given him as a present -- and the dreadful secret that has been tearing him apart ever since his parentsâ€™ divorce. But now Brian has no time for anger, self-pity, or despair -- it will take all his know-how and determinatio",2024-09-23
Heart Bones,Colleen Hoover,Romance,,9781668021910,368,,unread,true,"From the #1 New York Times bestselling author of It Ends with Us and It Starts with Us! Moving, passionate, and unforgettable, Colleen Hooverâ€™s novel follows two young adults from completely different backgrounds embarking on a tentative romance, unaware of what the future holds. After a childhood filled with poverty and neglect, Beyah Grim finally has her hard-earned ticket out of Kentucky with a full ride to Penn State. But two months before sheâ€™s finally free to change her life for the be",2024-10-25
Hidden Mickey 1,W. Smith,Adventure,,9780974902623,482,,unread,true,"Hidden Mickey: Sometimes Dead Men Do Tell Tales! is the first in a series of action-adventure mysteries about Walt Disney and Disneyland, for adults, teens, and â€™tweens ages ten and over. Two friends find Walt Disneyâ€™s lost diary, but who knew it would lead them on a wild cross-country search filled with discoveries about the famous man, his life, and themselves. The diary hints of a hidden treasure, and you will walk in the shoes of our intrepid treasure hunters as they scavenge historical ",2025-08-13
Hidden Mickey 2,W. Smith,,,9780974902630,,,unread,true,,2025-08-13
Hidden Mickey 5: Chasing New Frontiers,David Smith,,,9780983261629,572,,unread,true,"Hidden Mickey 5: Chasing New Frontiers follows Disneyland cast member, Blain Walters, as he and a beautiful Swiss visitor to Disneyland, Missy Johansen, stumble upon a decades-old, lost wallet. The wallet holds the key to a forty-four-year-old mystery of lost, stolen money and Walt Disneyâ€™s legendary and mysterious red-diamond pendant. While Blain and Missy follow a trail of lost clues, they also find themselves wanting to follow their hearts as they find a real connection with each other. Add",2025-08-13
Hidden Valley Road,Robert Kolker,Biography,,9780385543767,352,,unread,true,"The heartrending story of a midcentury American family with twelve children, six of them diagnosed with schizophrenia, that became scienceâ€™s great hope in the quest to understand the disease. Don and Mimi Galvin seemed to be living the American dream. After World War II, Donâ€™s work with the Air Force brought them to Colorado, where their twelve children perfectly spanned the baby boom: the oldest born in 1945, the youngest in 1965. In those years, there was an established script for a family",2025-03-29
Hidden Warships,Nicholas A. Veronico,,,9780760347560,256,,unread,true,"As close as you can get to the worldâ€™s warship wrecks without getting your feet wet Sunk by enemy fire, scuttled, or run aground, the number of World War IIÃ¢??era battleships, cruisers, submarines, and other warships that ended their service on the bottom of the worldâ€™s oceans and seas is enormous. In the decades since the conflict, wreck hunters have pored over historical records and combed the worldâ€™s oceans to find their remains. In Hidden Warships, naval historian Nicholas A. Veronico",2024-10-25
Hillbilly Elegy,J.D. Vance,Autobiography,,9780062300553,288,,unread,true,"Hillbilly Elegy is a passionate and personal analysis of a culture in crisisâ€”that of white working-class Americans. The disintegration of this group, a process that has been slowly occurring now for more than forty years, has been reported with growing frequency and alarm, but has never before been written about as searingly from the inside. J. D. Vance tells the true story of what a social, regional, and class decline feels like when you were born with it hung around your neck. The Vance fami",2025-12-20
Hiroshima,John Hersey,,World War II/Use of nuclear weapons,9780679721031,152,,unread,true,"On August 6, 1945, Hiroshima was destroyed by the first atomic bomb...",2026-06-09
Hitler Youth,"Koch, H.W., Lewis, Brenda Ralph, Bartoletti, Susan Campbell, Kater, Michael H.",History,,9781338309843,,,unread,true,,2025-06-30
Hold on Tight,Abbi Glines,Romance,,9781481420815,288,,unread,true,"Dewayne and Sienna have loved each other since they were kidsâ€”and in this smokinâ€™ addition to the New York Times and USA TODAY bestselling Sea Breeze series from Abbi Glines, itâ€™s time for them to face the fiery passion brewing between them. Six years ago, Sienna Roy found out she was pregnant with her boyfriendâ€™s baby. But when Dustin died in a car crash just days later, Sienna left Sea Breeze to raise her son alone. Now Sienna is coming back, and everything is about to change. Dewayne ",2024-10-25
Honor and Betrayal: the Untold Story of the Navy SEALS who Captured the â€œButcher of Fallujahâ€-and the Shameful Ordeal They Later Endured,Patrick Robinson,,,9780306823084,356,,unread,true,"From the coauthor of the #1 New York Times, book, Lone Survivor, the riveting, behind-the-scenes story of the three Navy SEALs that captured the Ã¢Â€ÂœButcher of Fallujah,Ã¢Â€Â then charged with Ã¢Â€Âœprisoner abuse,Ã¢Â€Â and their long road to justice",2025-06-30
Hopeless,Colleen Hoover,Drama,,9781476743554,416,,unread,true,"Beloved and bestselling author Colleen Hoover returns with the spellbinding story of two young people with devastating pasts who embark on a passionate, intriguing journey to discover the lessons of life, love, trustâ€”and above all, the healing power that only truth can bring. 

Sky, a senior in high school, meets Dean Holder, a guy with a promiscuous reputation that rivals her own. From their very first encounter, he terrifies and captivates her. Something about him sparks memories of her deep",2024-10-25
How Full Is Your Bucket?,"Rath, Tom, Reckmeyer, Mary",Childrenâ€™s,Nonfiction Self Help,9781595620033,128,,unread,true,"Based on a simple metaphor, the book features powerful stories, actionable strategies and breakthrough discoveries from a 50-year study. Includes a toolkit with a new Gallup positivity test and a personality assessment made popular by Gallupâ€™s previous bestseller (over 1 million completes).

Organized around a simple metaphor of a dipper and a bucket â€” already familiar to thousands of people â€” How Full Is Your Bucket? shows how even the smallest interactions we have with others every day p",2024-10-25
How Highly Effective People Speak,Peter Andrei,,,9798649598507,246,,unread,true,Why do we think what we think? Think we know what we think we know? Believe what we believe? Like what we like? Do what we do? Why do others trust or distrust us? Respect or disrespect us? Listen to or ignore us? Reach out to or neglect us? Like or dislike us? Praise or slander us? Believe or doubt us? Thatâ€™s not all... Why do others follow our lead or stand in our way? Give us opportunities or send them elsewhere? Support our striving for success and appreciate our message or toss it - and us,2024-10-25
How They Won the War in the Pacific:  Nimitz and his Admirals,Edwin P Hoyt,Biography,World War II,9780762772858,554,,unread,true,"Originally published: New York: Weybright and Talley, 1970.",2025-01-06
How to Be a Great Boss,Gino Wickman,Business,,9781942952848,,,unread,true,"If your employees brought their â€A-Gameâ€ to work every day, what would it mean for your companyâ€™s performance?
Studies have repeatedly shown that the majority of employees are disengaged at work. But it doesnâ€™t have to be this way. Often, the difference between a group of indifferent employees and a fully engaged team comes down to one simple thingâ€”a great boss.
In How to Be a Great Boss, Gino Wickman and Reneâ€™ Boer present a straightforward, practical approach to help bosses at all ",2025-12-20
How to Read Literature Like a Professor,Thomas C. Foster,,,9781627654531,314,,unread,true,"A thoroughly revised and updated edition of Thomas C. Fosterâ€™s classic guide--a lively and entertaining introduction to literature and literary basics, including symbols, themes and contexts, that shows you how to make your everyday reading experience more rewarding and enjoyable. While many books can be enjoyed for their basic stories, there are often deeper literary meanings interwoven in these texts. How to Read Literature Like a Professor helps us to discover those hidden truths by looking",2025-05-12
Howlâ€™s Moving Castle,Diana Wynne Jones,Fantasy,,9780061478789,429,,unread,true,"Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under the horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills; the Wizard Howlâ€™s castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demo",2024-05-05
"Hunger Games, The",Suzanne Collins,Adventure,Romance,9780439023528,374,,unread,true,"Book 1
Katnisss Everdeen (Human, Hunter) + Gale (Human, Hunter) + Peeta (Human, Baker)
In a future North America, where the rulers of Panem maintain control through an annual televised survival competition pitting young people from each of the twelve districts against each other, sixteen year old Katnisss Everdeen skills are put to the test when she voluntarily takes her younger sisters place. Gale + Peeta",2024-10-25
I Am Malala,Malala Yousafzai,Autobiography,,9780316286633,464,,unread,true,"B biography 
Y 1000L 60DRA

A girl who stood up for education and was shot by the Taliban.",2024-10-25
I Wrote This Book Because I Love You,Tim Kreider,,,,,,unread,true,,2025-06-30
If And Only If,C.S. McKinney,,,,,,unread,true,,2024-05-05
Ikigai,Hector Garcia,Health,,9781786330895,208,,unread,true,"Discover the Japanese secret to a long and happy life with the internationally bestselling guide to ikigai. The people of Japan believe that everyone has an ikigai - a reason to jump out of bed each morning. And according to the residents of the Japanese island of Okinawa - the worldâ€™s longest-living people - finding it is the key to a longer and more fulfilled life. Inspiring and comforting, this book will give you the life-changing tools to uncover your personal ikigai. It will show you how ",2025-06-29
Images Of America: Canton,Rebecca Johnson,,,,,,unread,true,,2025-06-30
Into Thin Air,Jon Krakauer,Adventure,Memoir / Travelogue,9780679457527,291,,unread,true,"A bank of clouds was assembling on the not-so-distant horizon, but journalist-mountaineer Jon Krakauer, standing on the summit of Mt. Everest, saw nothing that â€suggested that a murderous storm was bearing down.â€ He was wrong. 

By writing Into Thin Air, Krakauer may have hoped to exorcise some of his own demons and lay to rest some of the painful questions that still surround the event. He takes great pains to provide a balanced picture of the people and events he witnessed and gives due cr",2025-06-30
Into the Wild,Jon Krakauer,,"horror, wilderness",9780385486804,240,,unread,true,"In April 1992 a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, his decomposed body was found by a moose hunter...",2024-09-23
Invisible Man,Ralph Ellison,Drama,,9780679732761,581,,unread,true,"The invisible man is the unnamed narrator of Ralph Ellisonâ€™s blistering, impassioned novel of black lives in 1940â€™s America. Defeated and embittered by a country which treats him as a non-being, he has retreated into an underground cell, where he smokes, drinks, listens to jazz and recounts his search for identity in white society: as an optimistic student in the Deep South, in the north with the black activist group the Brotherhood, and in the Harlem race riots.
Powerfully told, angry and o",2025-12-20
Irenaâ€™s Children,Tilar J. Mazzeo,History,,9781481489713,,,unread,true,,2025-06-30
Iron Flame,Rebecca Yarros,Fantasy,Dark Fantasy,9781649374172,623,,unread,true,"Everyone expected Violet Sorrengail to die during her first year at Basgaith War College â€” Violet included. But Threshing was only the first impossible test meant to weed out the weak-willed, the unworthy, and the unlucky.

Now the real training begins, and Violetâ€™s already wondering how sheâ€™ll get through. Itâ€™s not just that itâ€™s grueling and maliciously brutal, or even that itâ€™s designed to stretch the ridersâ€™ capacity for pain beyond endurance. Itâ€™s the new vice commandant, wh",2025-06-30
It Ends With Us,Colleen Hoover,Drama,Romance,9781501110368,376,4,read,true,"Lily hasnâ€™t always had it easy, but thatâ€™s never stopped her from working hard for the life she wants. Sheâ€™s come a long way from the small town in Maine where she grew up. She graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon names Ryle Kincaid, everything in Lilyâ€™s live suddenly seems almost too good to be true. 

Ryle is assertive, stubborn, maybe even a little arrogant. Heâ€™s also sensitive, brilliant, and h",2024-09-23
It Starts with Us,Colleen Hoover,Romance,Adult Chapter Book,9781668001226,320,,unread,true,"Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favorite Atlasâ€™s side of the story and shares what comes next in this long-anticipated sequel to the â€œglorious and touchingâ€ (USA TODAY) #1 New York Times bestseller It Ends with Us.",2024-10-25
Itâ€™s In His Kiss,Julia Quinn,Historical Fiction,,9780062353795,399,,unread,true,"Hyacinth Bridgerton 
Gareth St. Clair 
Book 7. Bridgerton
1825",2024-09-23
Iâ€™m Glad My Mom Died,Jennette Mccurdy,Biography,Autobiography,9781982185824,304,,unread,true,"A heartbreaking and hilarious memoir by iCarly and Sam & Cat star Jennette McCurdy about her struggles as a former child actorâ€”including eating disorders, addiction, and a complicated relationship with her overbearing motherâ€”and how she retook control of her life. Jennette McCurdy was six years old when she had her first acting audition. Her motherâ€™s dream was for her only daughter to become a star, and Jennette would do anything to make her mother happy. So she went along with what Mom ca",2024-10-25
Jack Reacher 25: The Sentinel,Lee Child,Science Fiction,,9781984818485,464,,unread,true,"#1 NEW YORK TIMES BESTSELLER * Jack Reacher is back! The â€utterly addictiveâ€ (The New York Times) series continues as acclaimed author Lee Child teams up with his brother, Andrew Child, fellow thriller writer extraordinaire. â€One of the many great things about Jack Reacher is that heâ€™s larger than life while remaining relatable and believable. The Sentinel shows that two Childs are even better than one.â€--James Patterson As always, Reacher has no particular place to go, and all the tim",2024-10-25
Japan 1941: Countdown To Infamy,Eri Hotta,,,9780385350518,,,unread,true,,2025-06-30
JonBenÃ©t,"Thomas, Steve, Davis, Donald A.",Crime,,9780312978617,413,,unread,true,,2026-02-15
Journey To The Center Of The Earth,Jules Verne,Adventure,,9780812504712,272,,unread,true,"Professor Hardwigg and his nephew Harry discover an ancient parchment by an alchemist Arne Saknusse. They travel to Iceland and climb an extinct volcano called Sneffels. With them is the Icelandic hunter Hans. They journey into the center of the earth, in which Harry gets lost. They come upon an ocean while crossing it witness a battle of ancient sea monsters. Are caught in a giant storm and wrecked. Eventually they are thrown out of a volcano on Stromboli an island off Italy.",2025-12-20
Just for Now,Abbi Glines,Romance,,9781442488601,307,,unread,true,"Devastated by a failed attempt to win the affections of bad-boy crush Preston, Amanda is astonished by Prestonâ€™s subsequent attentions and finds the relationship challenged by her disapproving older brother and Prestonâ€™s wary friends. By the author of The Vincent Boys. Simultaneous.",2024-10-25
Killing Floor,Lee Child,Thriller,Fiction Mystery Crime Action Suspense Adventure,9780515141429,524,,unread,true,"Welcome to Margrave, Georgiaâ€”but donâ€™t get too attached to the townsfolk, who are either in on a giant conspiracy, or hurtling toward violent deaths, or both.

Thereâ€™s not much of a welcome for Jack Reacher, a casualty of the Armyâ€™s peace dividend whoâ€™s drifted into town idly looking for traces of a long dead black jazzman. Not only do the local cops arrest him for murder, but the chief of police turns eyewitness to place him on the scene, even though Reacher was getting on a bus in Ta",2024-10-25
Lady Almina And The Real Downton Abbey,The Countess Of Carnarvon,History,,9780770435622,310,,unread,true,"Examines the life of Lady Almina, the fifth Countess of Carnarvon, and the events in Highclere Castle during the First World War.",2024-10-25
"Lady Catherine, The Earl, And The Real Downton Abbey",The Countess Of Carnarvon,Biography,British Literature,9780385344968,368,,unread,true,"Highclere Castle has a new resident, the daughter-in-law of Lady Almina, an American beauty from New York and a descendant of famous American families.

Catherine Wendell first met Lord Porchester (Porchey), son of Lady Almina, the heir to Highclere and 6th Earl of Carnarvon, in Gibraltar. At just 19 and utterly entrancing, she had already received many proposals of marriage and immediately caught 24-year-old Porcheyâ€™s discerning eye.

They married in 1922, and after the unexpected death of Al",2024-10-25
"Lady Most Willing, The","James, Eloisa, Quinn, Julia",Historical Fiction,,9780062107381,384,,unread,true,"When Laird Taran Fergusonâ€™s nephews refuse to wed and secure his birthright, he takes matters into his own hands, raiding a ball and kidnapping four likely bridesâ€”a bonny lass, an heiress with a slight reputation problem, a rich English beauty, and a maiden without a name or a fortune. But which one is ready to fall in love with the Scottish lord? Add a very angry duke, a decrepit castle, and a fierce Highland storm that is holding all of Taranâ€™s â€œguestsâ€ captive to the mix, and reader",2024-09-23
Last Night At The Viper Room,Gavin Edwards,Biography,Celebrity Memoirs,9780062273154,273,,unread,true,"In Last Night At The Viper Room, Acclaimed Author And Journalist Gavin Edwards Vividly Recounts The Life And Tragic Death Of Acclaimed Actor River Phoenix--a Teen Idol On The Fast Track To Hollywood Royalty Who Died Of A Drug Overdose In Front Of West Hollywoodâ€™s Storied Club, The Viper Room, At The Age Of 23. Last Night At The Viper Room Explores The Young Starâ€™s Life, Including His Childhood In Venezuela Growing Up Under The Aegis Of The Cultish Children Of God. Putting Him At The Center O",2025-12-20
Layla,Colleen Hoover,Fantasy,,9781542000178,290,,unread,true,"When Leeds meets Layla, heâ€™s convinced heâ€™ll spend the rest of his life with herâ€”until an unexpected attack leaves Layla fighting for her life. After weeks in the hospital, Layla recovers physically, but the emotional and mental scarring has altered the woman Leeds fell in love with. 

In order to put their relationship back on track, Leeds whisks Layla away to the bed-and-breakfast where they first met. Once they arrive, Laylaâ€™s behavior takes a bizarre turn. And thatâ€™s just one of ma",2024-10-25
Let That Sh*t Go,Monica Sweeney,Wellness,,9781250181909,128,,unread,true,"Journal your way to a better f*cking day. Harboring grudges and plotting revenge take a lot of energy. While the wait for one true moment of schadenfreude sounds oh so sweet, true bliss can be found in simply notgiving a f*ck. With Let That Sh*t Go, youâ€™ll find moments of profanity-laced catharsis and joy through journaling activities and inspirations that are positive as f*ck. Within these truly charming pages, youâ€™ll find ways to let go of the bullsh*t and lift your spirit a little f*cking",2024-05-05
